"ID";"UTR3_length";"ARE_counts"
"CLEC9A";399;1
"CLECL1";75,5;0
"CLGN";770;4
"CLHC1";1168,33333333333;4
"CLIC1";260,6;0
"CLIC2";1692;2
"CLIC3";73;0
"CLIC4";2586,5;14
"CLIC5";3450,33333333333;6
"CLIC6";1745;1
"CLINT1";1215;5
"CLIP1";1039,2;6
"CLIP2";2084,5;0
"CLIP3";810;1
"CLIP4";736,333333333333;4
"CLK1";203,5;1
"CLK2";348;0
"CLK3";280,5;1
"CLK4";953;4
"CLLU1-AS1";378;0
"CLMN";9624;16
"CLMP";3602;6
"CLN3";488,285714285714;1
"CLN6";1148;0
"CLN8";1645,66666666667;2
"CLNK";4072;12
"CLNS1A";745;4
"CLOCK";5205,33333333333;18
"CLP1";292,333333333333;1
"CLPB";4187,5;9
"CLPP";1532;0
"CLPS";164;0
"CLPSL1";140;0
"CLPSL2";62;0
"CLPTM1";345,333333333333;1
"CLPTM1L";617;3
"CLPX";2604;6
"CLRN1";692,666666666667;1
"CLRN2";22;0
"CLRN3";308;0
"CLSPN";1716;2
"CLSTN1";1531;0
"CLSTN2";11144;26
"CLSTN3";864;0
"CLTA";239,333333333333;0
"CLTB";500;1
"CLTC";3104;8
"CLTCL1";517;1
"CLTRN";653;1
"CLU";667,333333333333;1
"CLUAP1";1487,66666666667;3
"CLUH";1208;0
"CLUL1";379,6;0
"CLVS1";2086;9
"CLVS2";9164;41
"CLYBL";2933,5;2
"CMA1";86,5;0
"CMAS";357;2
"CMBL";2858;4
"CMC1";2827,5;7
"CMC2";2535;5
"CMC4";218;0
"CMIP";1866;4
"CMKLR1";2915;6
"CMPK1";1236;5
"CMPK2";783,333333333333;3
"CMSS1";1777,5;2
"CMTM1";209,25;0
"CMTM2";156;0
"CMTM3";956;2
"CMTM4";1452,5;3
"CMTM5";223,666666666667;0
"CMTM6";2648;8
"CMTM7";925;1
"CMTM8";354;1
"CMTR1";1363;0
"CMTR2";1763,5;6
"CMYA5";606;2
"CNBD1";232;1
"CNBD2";812,666666666667;2
"CNBP";844,2;1
"CNDP1";2650;10
"CNDP2";1836,33333333333;0
"CNEP1R1";1529,66666666667;4
"CNFN";93;0
"CNGA1";435,8;1
"CNGA2";806;3
"CNGA3";717,5;2
"CNGA4";70;0
"CNGB1";1019;1
"CNGB3";1869;7
"CNIH1";4253;12
"CNIH2";609;0
"CNIH3";1198;2
"CNIH4";2540,66666666667;4
"CNKSR1";323,333333333333;0
"CNKSR2";2058,375;8
"CNKSR3";18839;34
"CNMD";331;1
"CNN1";420;0
"CNN2";1167,25;0
"CNN3";790,333333333333;5
"CNNM1";2814;3
"CNNM2";4816,33333333333;9
"CNNM3";2030,5;2
"CNNM4";2357;5
"CNOT1";442,666666666667;1
"CNOT10";209;2
"CNOT11";903;2
"CNOT2";1077,5;1
"CNOT3";273,5;1
"CNOT4";1275,66666666667;4
"CNOT6";4151,33333333333;17
"CNOT6L";7044;26
"CNOT7";3302,5;10
"CNOT8";532;1
"CNOT9";1358,75;1
"CNP";2534;2
"CNPPD1";550,5;0
"CNPY1";1039;6
"CNPY2";708;0
"CNPY3";503;0
"CNPY4";620;1
"CNR1";1724,8;5
"CNR2";4020;3
"CNRIP1";554,5;1
"CNST";1440,5;7
"CNTD1";1202;3
"CNTD2";844;1
"CNTF";1211;4
"CNTFR";638;1
"CNTLN";2470;9
"CNTN1";1365;4
"CNTN2";2075;1
"CNTN3";1833;12
"CNTN4";1335,75;6
"CNTN5";1190,25;5
"CNTN6";487,5;1
"CNTNAP1";1083;1
"CNTNAP2";5382;15
"CNTNAP3";1123;4
"CNTNAP3B";1119;3
"CNTNAP4";704,666666666667;3
"CNTNAP5";999;0
"CNTRL";422,666666666667;2
"CNTROB";181,333333333333;0
"COA1";793,222222222222;2
"COA3";436;0
"COA4";337,333333333333;2
"COA5";1438;0
"COA6";483,75;3
"COA7";3271;2
"COASY";223,333333333333;0
"COBL";1482;5
"COBLL1";3184,75;13
"COCH";520,5;3
"COG1";56;0
"COG2";589;0
"COG3";1970;6
"COG4";438,5;0
"COG5";1862,33333333333;3
"COG6";2422;10
"COG7";427;1
"COG8";585;0
"COIL";872;3
"COL10A1";1120,33333333333;7
"COL11A1";1055;4
"COL11A2";552;2
"COL12A1";1148,5;3
"COL13A1";163,666666666667;1
"COL14A1";2342;10
"COL15A1";901;0
"COL16A1";388;0
"COL17A1";949;0
"COL18A1";1321,66666666667;0
"COL19A1";5194;25
"COL1A1";2213;1
"COL1A2";834;1
"COL20A1";217;0
"COL21A1";1067;2
"COL22A1";1018;1
"COL23A1";1080;0
"COL24A1";1313;6
"COL25A1";1876,66666666667;6
"COL26A1";1494;2
"COL27A1";1816;5
"COL28A1";758;2
"COL2A1";230;1
"COL3A1";972;4
"COL4A1";1142,5;2
"COL4A2";1018;1
"COL4A3";2922;10
"COL4A4";4611;11
"COL4A5";1165;4
"COL4A6";1391;0
"COL5A1";2538,5;2
"COL5A2";2172;11
"COL5A3";850;1
"COL6A1";1035;0
"COL6A2";592,5;1
"COL6A3";393,833333333333;2
"COL6A6";2758;13
"COL7A1";333;0
"COL8A1";2256;9
"COL8A2";1573,33333333333;0
"COL9A1";1346,5;6
"COL9A2";693;1
"COL9A3";427;1
"COLCA2";244,25;0
"COLEC10";2264;7
"COLEC11";403,75;0
"COLEC12";3308;3
"COLGALT1";1713;3
"COLGALT2";2927;7
"COLQ";925,666666666667;1
"COMMD1";306;1
"COMMD10";587,666666666667;1
"COMMD2";3049;5
"COMMD3";308;2
"COMMD4";624,333333333333;1
"COMMD5";489,75;0
"COMMD6";964,333333333333;4
"COMMD7";685;0
"COMMD8";858;2
"COMMD9";1020;1
"COMP";142;0
"COMT";453;1
"COMTD1";432;0
"COP1";171;0
"COPA";1223,5;3
"COPB1";296;2
"COPB2";457;2
"COPE";137,25;0
"COPG1";349;1
"COPG2";646,5;3
"COPRS";268;0
"COPS2";2911,5;13
"COPS3";380;3
"COPS4";418,666666666667;1
"COPS5";154;0
"COPS6";398;0
"COPS7A";804,4;0
"COPS7B";982,875;1
"COPS8";1804;8
"COPS9";121,5;1
"COPZ1";589,75;2
"COPZ2";261;0
"COQ10A";648;1
"COQ10B";704,666666666667;2
"COQ2";374;3
"COQ3";199;1
"COQ4";427;1
"COQ5";505;2
"COQ6";390;4
"COQ7";706,333333333333;3
"COQ8A";807,5;1
"COQ8B";505;0
"COQ9";646;0
"CORIN";1165,66666666667;8
"CORO1A";66;0
"CORO1B";1597;1
"CORO1C";1806;3
"CORO2A";3799;2
"CORO2B";1237,33333333333;1
"CORO6";973;0
"CORO7";455,666666666667;0
"CORO7-PAM16";68;1
"CORT";307;2
"COTL1";1249;1
"COX10";2482;4
"COX11";1211;6
"COX14";236;0
"COX15";1321;2
"COX16";1252;2
"COX17";344;1
"COX18";2895;9
"COX19";4526;2
"COX20";978,5;3
"COX4I1";198,75;1
"COX4I2";102;0
"COX5A";362;1
"COX5B";275;0
"COX6A1";193;1
"COX6A2";43;0
"COX6B1";116,333333333333;0
"COX6B2";1158,6;1
"COX6C";239,7;1
"COX7A1";60;0
"COX7A2";250,5;1
"COX7A2L";1881;5
"COX7B";2115;3
"COX7B2";120;0
"COX7C";807;3
"COX8A";223;1
"COX8C";236;0
"CP";1217;1
"CPA1";97;0
"CPA2";51;0
"CPA3";496;2
"CPA4";1504;1
"CPA5";116,333333333333;0
"CPA6";466;0
"CPAMD8";154;0
"CPB1";185;0
"CPB2";412,5;1
"CPD";2689;7
"CPE";937;4
"CPEB1";364,166666666667;1
"CPEB2";3771;14
"CPEB3";4870;11
"CPEB4";2162;8
"CPED1";958;3
"CPHXL";93;0
"CPLANE1";1374;5
"CPLANE2";356;0
"CPLX1";1544;1
"CPLX2";2653;0
"CPLX3";1448;1
"CPLX4";1296;2
"CPM";3733;10
"CPN1";234;1
"CPN2";795;2
"CPNE1";201,333333333333;0
"CPNE2";385,333333333333;0
"CPNE3";3088;12
"CPNE4";939,833333333333;5
"CPNE5";1491,5;0
"CPNE6";249;0
"CPNE7";625;0
"CPNE8";1679;9
"CPNE9";142;0
"CPO";38;0
"CPOX";1237;3
"CPPED1";3243;6
"CPQ";318;0
"CPS1";929,833333333333;4
"CPSF1";53,5;0
"CPSF2";10401;27
"CPSF3";79,5;0
"CPSF4";601,333333333333;1
"CPSF4L";45;0
"CPSF6";2640,5;9
"CPSF7";1600;2
"CPT1A";795,5;2
"CPT1B";147,8;0
"CPT1C";111,25;0
"CPT2";592,5;3
"CPTP";1133;0
"CPVL";271;1
"CPXCR1";462;0
"CPXM1";116;0
"CPXM2";1125;2
"CPZ";136,333333333333;0
"CR1";1188;4
"CR1L";18;0
"CR2";772;1
"CRABP1";248;0
"CRABP2";366;1
"CRACD";821;4
"CRACR2A";278;2
"CRACR2B";377,333333333333;0
"CRADD";418,8;1
"CRAMP1";3862;4
"CRAT";603;0
"CRB1";436,5;0
"CRB2";1691;0
"CRB3";348,5;1
"CRBN";854;1
"CRCP";952,5;1
"CRCT1";325;0
"CREB1";5344,66666666667;15
"CREB3";273;0
"CREB3L1";663;0
"CREB3L2";2756,5;3
"CREB3L3";352;0
"CREB3L4";293,75;0
"CREB5";1827,2;6
"CREBBP";1421,5;2
"CREBL2";3110;12
"CREBRF";2179,66666666667;7
"CREBZF";2891;9
"CREG1";1285;5
"CREG2";5373;21
"CRELD1";575,75;1
"CRELD2";227;0
"CREM";601;2
"CRH";511;2
"CRHBP";586;3
"CRHR1";645,8;2
"CRHR2";1237;3
"CRIM1";2434;7
"CRIP1";238;0
"CRIP2";279;1
"CRIP3";342;0
"CRIPT";5949;15
"CRISP1";966,75;4
"CRISP2";414,5;4
"CRISP3";1337;4
"CRISPLD1";1171,33333333333;5
"CRISPLD2";2866;2
"CRK";2887;7
"CRKL";2263;2
"CRLF1";329;1
"CRLF2";284,333333333333;2
"CRLF3";1503;2
"CRLS1";1565;7
"CRMP1";830;0
"CRNKL1";1825;4
"CRNN";351;0
"CROCC";518;0
"CROT";916,666666666667;2
"CRP";821,5;1
"CRTAC1";301;0
"CRTAM";1241;3
"CRTAP";5325;8
"CRTC1";4951;1
"CRTC2";434;0
"CRTC3";3205;4
"CRX";2296,5;0
"CRY1";638;2
"CRY2";1665;2
"CRYAA";382;0
"CRYAA2";382;0
"CRYAB";141,857142857143;0
"CRYBA1";134;1
"CRYBA2";62,5;0
"CRYBA4";182;0
"CRYBB1";212;0
"CRYBB2";97,5;0
"CRYBB3";147;0
"CRYBG1";1894;4
"CRYBG3";1670;6
"CRYGA";64;0
"CRYGB";65;2
"CRYGC";66;1
"CRYGD";66;0
"CRYGN";153,5;0
"CRYGS";254;0
"CRYL1";461;1
"CRYM";261,5;1
"CRYZ";688,5;4
"CRYZL1";481;1
"CS";1385;1
"CSAD";413,333333333333;1
"CSAG1";310;0
"CSDC2";1771;0
"CSDE1";994,285714285714;6
"CSE1L";516,5;1
"CSF1";763,25;1
"CSF1R";778;0
"CSF2";318;8
"CSF2RA";452,777777777778;2
"CSF2RB";1937;3
"CSF3";602;7
"CSF3R";202,8;0
"CSGALNACT1";1086;3
"CSGALNACT2";1760;7
"CSH1";104;0
"CSH2";248,333333333333;0
"CSHL1";106;0
"CSK";570,666666666667;0
"CSKMT";1057;2
"CSMD1";3224;7
"CSMD2";2621,66666666667;4
"CSMD3";1841,66666666667;12
"CSN1S1";216,5;0
"CSN2";373;3
"CSN3";201;0
"CSNK1A1";2758,66666666667;6
"CSNK1A1L";984;3
"CSNK1D";954,666666666667;0
"CSNK1E";865,666666666667;2
"CSNK1G1";2297,33333333333;3
"CSNK1G2";1135;3
"CSNK1G3";1154,57142857143;4
"CSNK2A1";3151;8
"CSNK2A2";464;0
"CSNK2A3";2;0
"CSNK2B";144;0
"CSPG4";1228;2
"CSPG5";386,75;1
"CSPP1";344;1
"CSRNP1";958,5;5
"CSRNP2";2541;7
"CSRNP3";9654;40
"CSRP1";862,5;1
"CSRP2";176,5;0
"CSRP3";510;1
"CST1";174;0
"CST11";98,5;0
"CST2";251;0
"CST3";1093,33333333333;2
"CST4";254;0
"CST5";254;0
"CST6";105;0
"CST7";216;0
"CST8";96;0
"CST9";1100;0
"CST9L";216;0
"CSTA";402;1
"CSTB";1691;1
"CSTF1";2635;4
"CSTF2";215;0
"CSTF2T";2213;5
"CSTF3";510,333333333333;4
"CSTL1";52;0
"CT45A1";349,5;1
"CT45A10";107,5;0
"CT45A2";506;0
"CT45A3";350,5;1
"CT45A5";331;0
"CT45A6";174;0
"CT45A7";106,5;0
"CT45A8";193,5;0
"CT45A9";372,5;0
"CT47A1";162;0
"CT47A10";172;0
"CT47A11";172;0
"CT47A12";39;0
"CT47A2";172;0
"CT47A3";172;0
"CT47A4";172;0
"CT47A5";172;0
"CT47A6";172;0
"CT47A7";172;0
"CT47A8";172;0
"CT47A9";172;0
"CT47B1";169;0
"CT55";597,5;2
"CT62";901;1
"CT83";55;0
"CTAG1A";152;0
"CTAG1B";152;0
"CTAG2";224;0
"CTAGE1";1975;9
"CTAGE15";236;0
"CTAGE4";216;0
"CTAGE6";236;0
"CTAGE8";216;0
"CTAGE9";243;0
"CTBP1";792;1
"CTBP2";1944;6
"CTBS";5388;24
"CTC1";3365;4
"CTCF";1268,625;2
"CTCFL";888,5625;2
"CTDNEP1";473;0
"CTDP1";1461,66666666667;0
"CTDSP1";883,5;1
"CTDSP2";3675;2
"CTDSPL";3602;1
"CTDSPL2";2616,5;12
"CTF1";1014,5;1
"CTH";508,333333333333;3
"CTHRC1";389;0
"CTIF";3002,5;1
"CTLA4";586,5;1
"CTNNA1";1025,5;3
"CTNNA2";852,666666666667;3
"CTNNA3";7807;29
"CTNNAL1";238,5;0
"CTNNB1";430,272727272727;1
"CTNNBIP1";844,5;1
"CTNNBL1";104,5;0
"CTNND1";2869,29166666667;6
"CTNND2";762,666666666667;2
"CTNS";1020;0
"CTPS1";646,333333333333;0
"CTPS2";1714,33333333333;4
"CTR9";641;0
"CTRB1";58;0
"CTRB2";58;0
"CTRC";2653;2
"CTRL";360;0
"CTSA";363,2;0
"CTSB";877;1
"CTSC";2098,66666666667;4
"CTSD";748;0
"CTSE";897;1
"CTSF";469;1
"CTSG";119;0
"CTSH";1072;3
"CTSK";591;1
"CTSL";320,5;1
"CTSO";1918;4
"CTSS";1668,5;3
"CTSV";3271;3
"CTSW";123;0
"CTSZ";464;1
"CTTN";1002;1
"CTTNBP2";886;3
"CTTNBP2NL";3752;9
"CTU1";995;0
"CTU2";148,666666666667;0
"CTXN1";799;0
"CTXN2";2181,25;7
"CTXN3";863;6
"CTXND1";6289;10
"CUBN";1009;1
"CUEDC1";984;0
"CUEDC2";177;0
"CUL1";376,833333333333;3
"CUL2";1359,33333333333;3
"CUL3";4095;23
"CUL4A";2014,16666666667;7
"CUL4B";1472,66666666667;5
"CUL5";2270,5;16
"CUL7";69,5;0
"CUL9";142;0
"CUTA";108,666666666667;0
"CUTC";395;0
"CUX1";3588,77777777778;6
"CUX2";2229;3
"CUZD1";120;0
"CWC15";765;3
"CWC22";253;1
"CWC25";1651;3
"CWC27";592,5;2
"CWF19L1";929;0
"CWF19L2";565;2
"CWH43";187,5;1
"CX3CL1";2012;2
"CX3CR1";1947,25;2
"CXADR";1014,2;4
"CXCL1";772;6
"CXCL10";812;1
"CXCL11";607;1
"CXCL12";1117,2;2
"CXCL13";795;3
"CXCL14";1170;1
"CXCL17";606;1
"CXCL2";716;10
"CXCL3";673;7
"CXCL5";1995;11
"CXCL6";1119;6
"CXCL8";773;6
"CXCL9";2323;6
"CXCR1";1318;0
"CXCR2";1367;2
"CXCR3";447,5;0
"CXCR4";520;1
"CXCR5";3124;5
"CXCR6";500,25;0
"CXXC1";250;0
"CXXC4";4014;12
"CXXC5";830,5;3
"CXorf21";641;2
"CXorf38";2388;5
"CXorf49";170;0
"CXorf49B";170;0
"CXorf51A";101;0
"CXorf51B";103;0
"CXorf56";993,5;4
"CXorf58";204;0
"CXorf65";98;1
"CXorf66";168;1
"CYB561";1513;0
"CYB561A3";1072,75;0
"CYB561D1";2428,6;2
"CYB561D2";314;0
"CYB5A";1101;2
"CYB5B";3744;10
"CYB5D1";1838,5;2
"CYB5D2";369,333333333333;2
"CYB5R1";654;0
"CYB5R2";270;0
"CYB5R3";1149,2;2
"CYB5R4";7545;11
"CYB5RL";163,5;0
"CYBA";64;0
"CYBB";2544;8
"CYBC1";617,125;0
"CYBRD1";2359,66666666667;4
"CYC1";189;0
"CYCS";1898,66666666667;11
"CYFIP1";2147;7
"CYFIP2";1412,75;3
"CYGB";1222;0
"CYHR1";435;0
"CYLC1";114,5;0
"CYLC2";907,666666666667;4
"CYLD";1697,2;7
"CYP11A1";211,5;0
"CYP11B1";1284;1
"CYP11B2";1421;0
"CYP17A1";171;1
"CYP19A1";1224;3
"CYP1A1";646,6;1
"CYP1A2";1519;0
"CYP1B1";1726,5;5
"CYP20A1";9118;18
"CYP21A2";509;0
"CYP24A1";1068;3
"CYP26A1";580,5;4
"CYP26B1";2989;5
"CYP26C1";843;1
"CYP27A1";263;0
"CYP27B1";808;1
"CYP27C1";2006;5
"CYP2A13";254;0
"CYP2A6";255;0
"CYP2A7";254;0
"CYP2B6";1571;1
"CYP2C18";438;1
"CYP2C19";2633;6
"CYP2C8";356;1
"CYP2C9";1063;0
"CYP2D6";46,5;0
"CYP2E1";158,5;0
"CYP2F1";299;0
"CYP2J2";343;2
"CYP2R1";682;3
"CYP2S1";1051;1
"CYP2U1";3038;4
"CYP2W1";818;0
"CYP39A1";786;2
"CYP3A4";1166;2
"CYP3A43";55;0
"CYP3A5";1787,33333333333;3
"CYP3A7";464;1
"CYP3A7-CYP3A51P";20;0
"CYP46A1";574;0
"CYP4A11";702,5;0
"CYP4A22";1087,5;1
"CYP4B1";406;2
"CYP4F11";1262;1
"CYP4F12";74,5;0
"CYP4F2";748;0
"CYP4F22";845,5;1
"CYP4F3";1485;2
"CYP4F8";1281;2
"CYP4V2";2822;12
"CYP4X1";577;1
"CYP4Z1";384;0
"CYP51A1";882,5;3
"CYP7A1";1297;5
"CYP7B1";5791;23
"CYP8B1";2119;1
"CYREN";750,8;0
"CYRIA";1748,5;6
"CYRIB";870,777777777778;4
"CYS1";2073;1
"CYSLTR1";1259;5
"CYSLTR2";1843;5
"CYSRT1";254;0
"CYSTM1";378;0
"CYTH1";2043;1
"CYTH2";2273,5;3
"CYTH3";3165;2
"CYTH4";1830;0
"CYTIP";1058;4
"CYTL1";565;2
"CZIB";560;0
"D2HGDH";841;0
"DAAM1";1720;6
"DAAM2";2835,66666666667;2
"DAB1";3364;2
"DAB2";1306,66666666667;1
"DAB2IP";1069;2
"DACH1";2689;4
"DACH2";468,333333333333;1
"DACT1";611,5;2
"DACT2";600,333333333333;1
"DACT3";900,5;1
"DAD1";275;2
"DAG1";2257,71428571429;1
"DAGLA";2512;0
"DAGLB";514;0
"DALRD3";116,666666666667;1
"DAND5";1128;0
"DAO";508;0
"DAOA";444,5;2
"DAP";1049,5;1
"DAP3";469,8;1
"DAPK1";1268;3
"DAPK2";2172,25;2
"DAPK3";647,5;0
"DAPL1";172;1
"DAPP1";2043,5;5
"DARS1";1435;1
"DARS2";841;0
"DAW1";376;0
"DAXX";184,666666666667;0
"DAZ1";1892;7
"DAZ2";1892;7
"DAZ3";1892;7
"DAZ4";1888;7
"DAZAP1";817,25;2
"DAZAP2";696,5;2
"DAZL";1868;8
"DBF4";1390;2
"DBF4B";656;0
"DBH";882;2
"DBI";170,5;0
"DBN1";609,333333333333;0
"DBNDD1";1024,66666666667;0
"DBNDD2";531,25;0
"DBNL";593;1
"DBP";807;1
"DBR1";901;4
"DBT";9336;26
"DBX1";59;0
"DBX2";1614;4
"DCAF1";1292;0
"DCAF10";6157;15
"DCAF11";1123,66666666667;0
"DCAF12";1963;4
"DCAF12L1";1747;6
"DCAF12L2";1034;3
"DCAF13";569,5;4
"DCAF15";454;2
"DCAF16";2836;3
"DCAF17";3936;18
"DCAF4";694;0
"DCAF4L1";3482;5
"DCAF4L2";2037;2
"DCAF5";1383,2;4
"DCAF6";403;1
"DCAF7";2618;3
"DCAF8";1875,33333333333;0
"DCAF8L1";1540;11
"DCAF8L2";25;0
"DCAKD";927,833333333333;0
"DCANP1";2160;2
"DCBLD1";234;0
"DCBLD2";3431;8
"DCC";5246;17
"DCD";119;1
"DCDC1";1104;3
"DCDC2";2975;4
"DCDC2B";299;0
"DCDC2C";825;1
"DCHS1";449;1
"DCHS2";1693,5;11
"DCK";1536;5
"DCLK1";4514,75;7
"DCLK2";1191;1
"DCLK3";2906;7
"DCLRE1A";425;1
"DCLRE1B";1895;1
"DCLRE1C";718,875;1
"DCN";946,75;4
"DCP1A";2180,5;5
"DCP1B";909;3
"DCP2";7675;25
"DCPS";4392;3
"DCST1";62;0
"DCST2";17;0
"DCSTAMP";372;0
"DCT";1698;3
"DCTD";822;1
"DCTN1";289,333333333333;0
"DCTN2";328,333333333333;1
"DCTN3";252,25;1
"DCTN4";1800,33333333333;3
"DCTN5";3643;5
"DCTN6";466;4
"DCTPP1";618;0
"DCUN1D1";2679;14
"DCUN1D2";2210;6
"DCUN1D3";2925,5;9
"DCUN1D4";3252,33333333333;7
"DCUN1D5";11673;41
"DCX";4432,125;7
"DCXR";102;0
"DDA1";1353,33333333333;1
"DDAH1";2231;6
"DDAH2";198,333333333333;0
"DDB1";685;1
"DDB2";205,5;0
"DDC";406;0
"DDHD1";7612;25
"DDHD2";2229,5;8
"DDI1";1183;3
"DDI2";9254;15
"DDIAS";322;0
"DDIT3";179,6;2
"DDIT4";848;0
"DDIT4L";1807;3
"DDN";1591;3
"DDO";991;5
"DDOST";607;0
"DDR1";696,818181818182;0
"DDR2";4825,66666666667;12
"DDRGK1";303;2
"DDT";186;0
"DDTL";1150;0
"DDX1";200;2
"DDX10";504;1
"DDX11";907,75;1
"DDX17";2496;2
"DDX18";1653;4
"DDX19A";854;2
"DDX19B";425;2
"DDX20";1101;6
"DDX21";2255,5;11
"DDX23";713;0
"DDX24";2904;2
"DDX25";3082;6
"DDX27";242;0
"DDX28";306;0
"DDX31";791,25;2
"DDX39A";138;0
"DDX39B";211,5;0
"DDX3X";1933,375;6
"DDX3Y";1386,5;6
"DDX4";386,8;0
"DDX41";214;0
"DDX42";919;1
"DDX43";405;2
"DDX46";1502,5;7
"DDX47";426;2
"DDX49";314;0
"DDX5";839;5
"DDX50";217;0
"DDX51";2678;1
"DDX52";4557;11
"DDX53";1636;1
"DDX54";1703;3
"DDX55";803;1
"DDX56";302,5;0
"DDX58";1820;1
"DDX59";217;3
"DDX6";2934,66666666667;6
"DDX60";639;4
"DDX60L";1412;3
"DEAF1";317;0
"DECR1";919;5
"DECR2";593;1
"DEDD";799;2
"DEDD2";835;1
"DEF6";361;0
"DEF8";1032,88888888889;1
"DEFA1";120,5;0
"DEFA1B";121;0
"DEFA3";121;0
"DEFA4";200;0
"DEFA5";127;0
"DEFA6";121;1
"DEFB1";89;0
"DEFB103A";95;0
"DEFB103B";96;0
"DEFB104A";48;0
"DEFB104B";48;0
"DEFB105A";42;0
"DEFB105B";42;0
"DEFB106A";100;1
"DEFB106B";100;1
"DEFB107A";88;0
"DEFB107B";88;0
"DEFB108B";148;0
"DEFB110";77;0
"DEFB112";20;0
"DEFB113";20;0
"DEFB114";43;0
"DEFB115";20;0
"DEFB116";20;0
"DEFB118";753;1
"DEFB119";69,5;0
"DEFB121";68;0
"DEFB123";83;0
"DEFB124";20;0
"DEFB125";677;1
"DEFB126";59;0
"DEFB127";139;0
"DEFB128";33;0
"DEFB129";115;0
"DEFB130A";20;0
"DEFB130B";20;0
"DEFB131A";20;0
"DEFB131B";20;0
"DEFB132";1790;7
"DEFB134";429;2
"DEFB135";20;0
"DEFB136";20;0
"DEFB4A";106;0
"DEFB4B";106;0
"DEGS1";632,5;1
"DEGS2";2804;0
"DEK";720,333333333333;3
"DELE1";1928;2
"DENND10";1337;5
"DENND11";5928;12
"DENND1A";1599,33333333333;1
"DENND1B";2388;10
"DENND1C";151,5;0
"DENND2A";457,5;0
"DENND2B";563,5;0
"DENND2C";2412;4
"DENND2D";1033,5;1
"DENND3";1569;2
"DENND4A";1401;3
"DENND4B";796;1
"DENND4C";555;0
"DENND5A";581;2
"DENND5B";2793,5;10
"DENND6A";2760;9
"DENND6B";3109;1
"DENR";1986;6
"DEPDC1";2780;11
"DEPDC1B";482,5;2
"DEPDC4";858;1
"DEPDC5";681,333333333333;1
"DEPDC7";127;0
"DEPP1";1264;1
"DEPTOR";777;1
"DERA";320;1
"DERL1";895,25;3
"DERL2";1896,5;3
"DERL3";261,666666666667;0
"DES";744;0
"DESI1";3069;3
"DESI2";1703;6
"DET1";468;1
"DEUP1";749;3
"DEXI";2302,66666666667;1
"DFFA";2767;3
"DFFB";1683,5;3
"DGAT1";1970;0
"DGAT2";1026,5;1
"DGAT2L6";598;1
"DGCR2";2581;0
"DGCR6";399;0
"DGCR6L";437;0
"DGCR8";1765;0
"DGKA";255,666666666667;1
"DGKB";2546,8;9
"DGKD";2638;2
"DGKE";6776;30
"DGKG";1458,33333333333;5
"DGKH";3107,6;10
"DGKI";5439,5;22
"DGKK";3531;6
"DGKQ";1733;2
"DGKZ";395,571428571429;0
"DGLUCY";468,333333333333;0
"DGUOK";217,5;0
"DHCR24";1503;0
"DHCR7";961;2
"DHDDS";1168,75;1
"DHDH";36;0
"DHFR";1429;4
"DHFR2";2076,25;5
"DHH";3203;2
"DHODH";3460;5
"DHPS";110,666666666667;1
"DHRS1";260;0
"DHRS11";601;0
"DHRS12";592;1
"DHRS13";660;0
"DHRS2";352,666666666667;1
"DHRS3";430;0
"DHRS4";354,833333333333;0
"DHRS4L2";542,666666666667;0
"DHRS7";617,666666666667;2
"DHRS7B";584,5;1
"DHRS7C";44,5;0
"DHRS9";399,166666666667;3
"DHRSX";1535;0
"DHTKD1";2333;7
"DHX15";449;2
"DHX16";119;1
"DHX29";433;2
"DHX30";73,6666666666667;2
"DHX32";350;0
"DHX33";3288;5
"DHX34";591;0
"DHX35";741;1
"DHX36";1822,5;5
"DHX37";976;0
"DHX38";415;1
"DHX40";629,5;2
"DHX57";570;0
"DHX58";350;0
"DHX8";1030;3
"DHX9";548;0
"DIABLO";712,666666666667;2
"DIAPH1";1551,66666666667;2
"DIAPH2";2886;8
"DIAPH3";171,714285714286;0
"DICER1";2621,6;11
"DIDO1";1509;3
"DIMT1";1005;3
"DIO1";468;2
"DIO2";5159;11
"DIO3";1041;0
"DIP2A";997,8;4
"DIP2B";3818;16
"DIP2C";3124;7
"DIPK1A";1033,6;4
"DIPK1B";968;2
"DIPK1C";2402;2
"DIPK2A";1934;14
"DIPK2B";2584;2
"DIRAS1";1360,5;1
"DIRAS2";3396;12
"DIRAS3";684;4
"DIRC1";868;1
"DIS3";3473,33333333333;11
"DIS3L";586;1
"DIS3L2";963,6;2
"DISC1";1433;3
"DISP1";23;0
"DISP2";8303;7
"DISP3";865;0
"DIXDC1";2522,66666666667;8
"DKC1";1207;0
"DKK1";850;3
"DKK2";2152;11
"DKK3";3229,33333333333;6
"DKK4";37;0
"DKKL1";88;0
"DLAT";1855;13
"DLC1";834,4;3
"DLD";803,25;5
"DLEC1";1613;2
"DLEU7";861;3
"DLG1";1046,26666666667;5
"DLG2";2822,16666666667;11
"DLG3";3218,33333333333;4
"DLG4";818;4
"DLG5";1649;0
"DLGAP1";1703;6
"DLGAP2";20;0
"DLGAP3";647;0
"DLGAP4";1139,33333333333;0
"DLGAP5";279;2
"DLK1";1779,5;1
"DLK2";186,333333333333;0
"DLL1";668;3
"DLL3";340;1
"DLL4";1039;2
"DLST";1413;1
"DLX1";1507,5;3
"DLX2";1105;3
